Conversation ID,Conversation started at (America/New_York),Fin AI Agent deflected,Topics,AI Subtopic,AI Topic
215473783828777,2026-04-05 14:49:36,true,"refund, cancel","Trial subscription cancellation, Refunds after subscription cancellation or failed cancellation",Subscription cancellation and refunds
215473783781514,2026-04-05 14:42:14,true,,"Inventory data upload, import, and shipment creation workflows, CSV file upload and import operations","InventoryLab, Bulk upload"
215473783350634,2026-04-05 13:11:34,true,,Profit and sales discrepancies analysis,Profit and sales discrepancies analysis
215473781351583,2026-04-05 09:43:10,true,,ASIN and SKU pricing discrepancies,SmartRepricer
215473779109891,2026-04-05 01:12:24,true,,SmartRepricer and InventoryLab integration and access,SmartRepricer
215473778634489,2026-04-04 22:34:20,true,,,
215473778451261,2026-04-04 21:37:51,true,,,
215473777418188,2026-04-04 17:25:03,true,,"Inventory valuation and reporting, Inventory data upload, import, and shipment creation workflows","Inventory issues, InventoryLab"
215473776600617,2026-04-04 15:36:46,true,,SmartRepricer and InventoryLab integration and access,SmartRepricer
215473776233899,2026-04-04 14:33:53,true,,"Subscription end, auto-renewal, and data access",Subscription cancellation and refunds
215473776187268,2026-04-04 14:23:48,true,,ASIN and SKU pricing discrepancies,SmartRepricer
215473775942743,2026-04-04 13:36:31,true,,Website loading and accessibility issues,Troubleshooting
215473774309861,2026-04-04 10:51:22,true,,"Restoring batches with box and item retention, Batch closing, reopening, and restoration",Batch processing
215473773675372,2026-04-04 09:16:43,true,,"Credit card and card payment updates, Payment confirmation and status updates, Switching between monthly and yearly subscriptions","Payment updates, Subscription status options"
215473773632128,2026-04-04 09:11:36,true,,,
215473771340779,2026-04-04 00:02:20,true,,,
215473771013287,2026-04-03 22:22:54,true,,"Subscription charges and billing discrepancies, Seller 365 plans and pricing, Invoice payments and viewing","Subscription cancellation and refunds, Seller 365, Invoice payments and viewing"
215473768195869,2026-04-03 17:07:36,true,,InventoryLab and supplier-related subscription refunds,Subscription cancellation and refunds
215473767390428,2026-04-03 16:06:08,true,,Subscription renewal process and troubleshooting,Subscription status options
215473767351487,2026-04-03 16:02:57,true,,Account reactivation and deactivation procedures,Account status
215473766531522,2026-04-03 14:19:59,true,cancel,"Shipment placement errors and resolution, Shipment error messages and troubleshooting","Placement errors, Shipment issues"
