Conversation ID,Conversation started at (America/New_York),Fin AI Agent resolution state,Fin AI Agent rating,AI Subtopic,AI Topic
215473296067748,2026-02-28 21:51:41,Assumed resolved,,Batch restoration and error handling,Batch processing
215473295275865,2026-02-28 18:54:50,Assumed resolved,,"Search functionality and results issues, Placement and shipment fee concerns","Search functionality and results issues, Placement errors"
215473295138958,2026-02-28 18:21:05,Confirmed resolved,,Trial subscription cancellation,Subscription cancellation and refunds
215473294362243,2026-02-28 15:45:13,Assumed resolved,,InventoryLab employee and user setup,User access
215473293766657,2026-02-28 14:04:38,Confirmed resolved,4,"Active listing and offer visibility issues, Editing and identifying inventory quantities","SKU and ASIN issues, Inventory issues"
215473293757556,2026-02-28 14:02:40,Assumed resolved,,"MSKU validation and error resolution, Batch closing, reopening, and restoration, Box handling and item movement in batches","SKU and ASIN issues, Batch processing"
215473292950225,2026-02-28 12:19:11,Assumed resolved,,"General shipment issues and status, Box handling and item movement in batches","Shipment issues, Batch processing"
215473291738899,2026-02-28 09:41:09,Assumed resolved,,Seller Central account linking and troubleshooting,Amazon operations
215473290377479,2026-02-28 06:08:26,Assumed resolved,,Wholesale search and access options,Wholesale search and access options
215473290366737,2026-02-28 06:06:22,Assumed resolved,,,
215473290027482,2026-02-28 05:08:52,Assumed resolved,,Subscription charges and billing discrepancies,Subscription cancellation and refunds
215473289926449,2026-02-28 04:57:29,Confirmed resolved,5,ScoutX and Scoutify functionality,ScoutIQ subscription
215473289323784,2026-02-28 02:41:49,Assumed resolved,,"Trial subscription cancellation, Disputing and investigating account charges","Subscription cancellation and refunds, Billing disputes and refunds"
215473288328327,2026-02-27 22:41:49,Assumed resolved,,,
215473287120847,2026-02-27 18:45:51,Assumed resolved,,"Refunding charges and erroneous transactions, Payment confirmation and status updates","Billing disputes and refunds, Payment updates"
215473286070297,2026-02-27 18:11:58,Assumed resolved,,Account cancellation issues,Troubleshooting
215473284887778,2026-02-27 17:01:25,Assumed resolved,,"Order and shipment synchronization across platforms, Subscription renewal periods and expiration details","Data syncing, Subscription status options"
215473284752247,2026-02-27 16:44:34,Assumed resolved,,"Account reactivation and deactivation procedures, ScoutIQ subscription cancellation and payment problems","Account status, ScoutIQ subscription"
215473283965032,2026-02-27 15:30:36,Confirmed resolved,5,,
215473283707598,2026-02-27 15:08:25,Confirmed resolved,5,ScoutX and Scoutify functionality,ScoutIQ subscription
215473283699270,2026-02-27 15:07:20,Assumed resolved,,"Credit card and card payment updates, Payment method changes and PayPal updates",Payment updates
215473282674350,2026-02-27 13:44:26,Assumed resolved,,,
215473281519133,2026-02-27 12:50:31,Assumed resolved,,"FBA shipment processing and complications, General batch issues and troubleshooting, Cache and browser troubleshooting","FBA operations, Batch processing, Troubleshooting"
215473280527220,2026-02-27 11:56:20,Assumed resolved,,Placement and shipment fee concerns,Placement errors
215473280510831,2026-02-27 11:55:00,Assumed resolved,,FNSKU label printing and troubleshooting,Labeling
215473280102976,2026-02-27 11:20:11,Confirmed resolved,5,Box handling and item movement in batches,Batch processing
215473280091180,2026-02-27 11:18:44,Assumed resolved,,"Profit and loss tax reporting and historical report access, Inventory valuation and reporting","Profit and loss tax reporting and historical report access, Inventory issues"
215473279242799,2026-02-27 10:19:06,Assumed resolved,,"SmartRepricer and InventoryLab integration and access, Inventory data upload, import, and shipment creation workflows, Bulk cost and supplier data import","SmartRepricer, InventoryLab, Bulk upload"
215473279031938,2026-02-27 10:08:20,Assumed resolved,,"Inventory data upload, import, and shipment creation workflows",InventoryLab
215473277668449,2026-02-27 08:53:14,Confirmed resolved,,,
215473277297801,2026-02-27 08:33:03,Assumed resolved,,General shipment issues and status,Shipment issues
215473273535310,2026-02-27 04:42:31,Assumed resolved,,"Ending and canceling subscriptions across services, Subscription charges and billing discrepancies, Plan selection and change options","Subscription cancellation and refunds, Subscription status options"
215473273260264,2026-02-27 04:09:50,Assumed resolved,,"Response time and process for received inquiries, Amazon-specific shipment problems and sending issues","Response time and process for received inquiries, Shipment issues"
215473273135920,2026-02-27 03:58:50,Assumed resolved,,,
215473272959118,2026-02-27 03:30:19,Assumed resolved,,"Switching between monthly and yearly subscriptions, Plan selection and change options, Account cancellation issues","Subscription status options, Troubleshooting"
215473272884568,2026-02-27 03:24:26,Assumed resolved,,MSKU validation and error resolution,SKU and ASIN issues
215473272618306,2026-02-27 02:58:02,Assumed resolved,,General subscription cancellation and refunds,Subscription cancellation and refunds
215473271626435,2026-02-26 23:29:07,Assumed resolved,,"Plan selection and change options, Switching between monthly and yearly subscriptions",Subscription status options
215473271616686,2026-02-26 23:26:44,Confirmed resolved,4,FBA and FBM inventory coordination,FBA operations
215473271028804,2026-02-26 22:07:57,Assumed resolved,,Access and connectivity issues with InventoryLab,InventoryLab
215473270557650,2026-02-26 20:56:22,Assumed resolved,,"Search functionality and results issues, Restricted and excluded products handling","Search functionality and results issues, Restricted and excluded products handling"
215473270127944,2026-02-26 20:08:29,Assumed resolved,,FBA and FBM inventory coordination,FBA operations
215473269837697,2026-02-26 19:31:53,Confirmed resolved,5,Item error indicators and discrepancies,Troubleshooting
215473268600870,2026-02-26 16:48:46,Assumed resolved,,Restoring batches with box and item retention,Batch processing
215473268288358,2026-02-26 16:20:51,Assumed resolved,,"Batch closing, reopening, and restoration, Active listing and offer visibility issues","Batch processing, SKU and ASIN issues"
